coefs,params,zne
"[np.float64(0.1347462563535375), np.float64(-0.0043575155758386755), np.float64(0.5711141841510105), np.float64(0.05357237808490518), np.float64(0.3132196426372722), np.float64(0.03769342884946879), np.float64(-0.06148532122058301), np.float64(-0.5396229058686739), np.float64(-0.06679178432984144), np.float64(-0.4032013018013202), np.float64(0.03762871012265895), np.float64(-0.33180098808637476), np.float64(0.3542517222065443), np.float64(0.5173402331006374), np.float64(0.24240744487642327), np.float64(0.3326036342114163), np.float64(0.13143092569579437), np.float64(0.19431512792197586), np.float64(0.05619884980369509), np.float64(0.21885231329813512), np.float64(-0.18994343652492984), np.float64(-0.4236395466795342), np.float64(-0.0007866221269433411), np.float64(0.1286794749285431), np.float64(-0.10854265273701179), np.float64(-0.03644344223826005), np.float64(0.03264089685609239), np.float64(0.04646606878658886), np.float64(-0.013302926822331987), np.float64(-0.2616530800871984), np.float64(-0.0658859648320352), np.float64(-0.5544920171381946), np.float64(-0.578041600348927), np.float64(-0.3585357817963407), np.float64(0.3727746190642704), np.float64(0.002507399663506668), np.float64(-0.21395265448853235), np.float64(0.2510138919671004), np.float64(-0.4928481915899464), np.float64(0.2756159352306688), np.float64(0.4739002904885495), np.float64(-0.15087644874799847), np.float64(-0.25349912143863484), np.float64(-0.03983832332082937), np.float64(0.5644235191012993), np.float64(0.17978421970165942), np.float64(0.04406141837554046), np.float64(0.5660289778694291), np.float64(0.456482644935911), np.float64(-0.07239725942996147), np.float64(-0.38083006173309797), np.float64(0.10619506550755799), np.float64(0.07113010935654153), np.float64(0.16622364029298758), np.float64(0.10174736984778489), np.float64(0.41410674939784214), np.float64(-0.29198467361421754), np.float64(-0.16744841582168948), np.float64(-0.15827053837033656), np.float64(-0.19749918856233487), np.float64(-0.12275445792999885), np.float64(-0.1568572007252536), np.float64(-0.3380743137428355), np.float64(0.23884549231680008), np.float64(-0.19889904920531581), np.float64(0.13517048207855228)]","[-0.1084027  -1.5672338   0.4069527   3.17330216  0.60457496 -2.23704876
  2.59864299 -0.76141003 -0.96669869 -3.99951956  4.17183091  4.70177951
 -1.58450974  2.10079774  1.66441217  1.54187853 -1.56782644 -1.58126021
  1.57727218  1.56729228 -1.56997369  1.57066417  1.57047608  1.57334158
 -3.90731692  2.27394437 -1.5111565   1.55571028 -1.45474847  1.59944833
 -1.55184517 -1.51658664 -1.56082167 -1.65483357  1.58613283 -1.55249154
  1.56940144  1.56711592  1.57496642 -1.57723811 -1.5623541  -1.55453168
  1.60303235  1.545007   -1.55306386 -1.55823399  1.53828141 -1.57570174]",-2.368352034784948
"[np.float64(-0.16636132684314597), np.float64(0.13312741666354158), np.float64(-0.05676172898894685), np.float64(-0.20319561681797765), np.float64(0.6817707180474659), np.float64(0.22734539653819372), np.float64(-0.016684884169957115), np.float64(0.08385446655193592), np.float64(0.3598853585356919), np.float64(0.11481663183457813), np.float64(0.0563617774635426), np.float64(-0.02409512483636002), np.float64(0.5145240702884343), np.float64(0.05706636576503969), np.float64(0.05052729998076466), np.float64(-0.024706455976239855), np.float64(0.45149581036751624), np.float64(0.3549784039489903), np.float64(-0.2426533510499636), np.float64(-0.23142133106106258), np.float64(0.5073076509230013), np.float64(0.26965155563582277), np.float64(-0.49033690814833336), np.float64(-0.11171751458755122), np.float64(-0.0827098081655746), np.float64(-0.11293318161670142), np.float64(-0.2565884473567095), np.float64(-0.35490862705237625), np.float64(0.03748776851346462), np.float64(-0.42161214339930453), np.float64(-0.12180144728848723), np.float64(-0.08708907050695719), np.float64(0.3819308798033901), np.float64(0.09375357474740365), np.float64(-0.01890048675629136), np.float64(0.349175733381013), np.float64(0.04842250565808224), np.float64(0.1299296328479242), np.float64(-0.22758229892838805), np.float64(-0.03125274515992605), np.float64(0.004368086877418493), np.float64(0.08049215057471135), np.float64(-0.4215442556148992), np.float64(-0.31136148217813847), np.float64(0.32238659206153497), np.float64(0.1823612576967501), np.float64(-0.2561190624253853), np.float64(-0.05944567942677107), np.float64(-0.13955337394997852), np.float64(0.205149548060507), np.float64(0.40437250579566897), np.float64(-0.22956599848586615), np.float64(-0.5538770839901171), np.float64(-0.04929769935575935), np.float64(0.28457765434109067), np.float64(-0.05922402017387923), np.float64(-0.03830146684983479), np.float64(-0.48844373093123633), np.float64(0.08409794081017831), np.float64(-0.10289463960374809), np.float64(-0.29098132932479853), np.float64(0.22967706005940539), np.float64(0.35698295756906817), np.float64(-0.40036075274072475), np.float64(-0.46086505362917474), np.float64(0.17490193831287307)]","[ 4.01875742e+00 -1.06459864e+00  3.17248236e-01  3.45829221e-01
 -7.37797171e-01  8.71319321e-01 -1.05990112e+00 -1.55098712e+00
 -3.08318132e+00  7.52798720e-01  3.58427106e+00  1.56992675e+00
 -1.56876310e+00 -1.56962869e+00  1.57205360e+00 -1.57301516e+00
 -1.57232062e+00  1.56266970e+00  1.57212474e+00  1.56804154e+00
 -4.71498978e+00 -1.60464286e+00 -1.59295996e+00 -1.57049631e+00
 -1.06376334e+00 -3.45781271e+00 -1.21288323e-01  5.27458868e-01
  2.89425117e-01 -4.74351455e-01 -2.29385443e+00  4.03190396e+00
  1.85229992e+00  1.63766510e+00  1.33222584e+00  4.06699686e+00
 -2.20336535e-03 -2.32870860e-01  3.44905346e+00  1.05686257e+00
  1.87737911e+00  1.41880262e+00  1.64047845e+00  1.53853908e+00
 -1.60809919e+00  1.64550571e+00  1.10865490e+00 -2.30588127e+00]",-1.062498297568709
"[np.float64(0.4066181354533312), np.float64(0.022397263388735805), np.float64(0.31643639202505874), np.float64(0.17058828408322807), np.float64(0.38766598622365694), np.float64(0.5436075714422304), np.float64(-0.46646700238456207), np.float64(-0.3413159587939044), np.float64(0.3433142277280333), np.float64(0.07933881106021011), np.float64(-0.05776425539045522), np.float64(0.43576083941572913), np.float64(-0.6246867255584063), np.float64(0.5301647278981199), np.float64(-0.24680722703805702), np.float64(0.41497674579400273), np.float64(0.4704186855177503), np.float64(-0.15946758738370234), np.float64(-0.3987398517064196), np.float64(-0.2632065260916647), np.float64(0.01939186122554904), np.float64(-0.3535996132161415), np.float64(-0.21934393412918166), np.float64(-0.7365638854533881), np.float64(0.12403533281969685), np.float64(0.030991314664381514), np.float64(0.14458635659635577), np.float64(-0.06138103682738531), np.float64(0.5426754694804117), np.float64(-0.09577468571742423), np.float64(-0.3863075862123952), np.float64(-0.07959326027023139), np.float64(-0.1301011807222383), np.float64(-0.28201723195747), np.float64(0.41063491567395577), np.float64(-0.2397977416540987), np.float64(-0.031688448113325725), np.float64(-0.39699751136017697), np.float64(-0.2766571520822488), np.float64(0.16139412090186703), np.float64(-0.19738393777754298), np.float64(0.07450157706999179), np.float64(0.21747173963670205), np.float64(0.24626622101389842), np.float64(-0.2986400639063656), np.float64(-0.2664105466157343), np.float64(0.3156543485840302), np.float64(-0.1176791361347051), np.float64(0.10046932994802622), np.float64(-0.11910430498704694), np.float64(0.18124288260672322), np.float64(0.012235044531438819), np.float64(-0.12993963828353652), np.float64(-0.3940609291190771), np.float64(0.18960201317231387), np.float64(0.28859046362909846), np.float64(0.20599860365870645), np.float64(-0.009170147928680952), np.float64(-0.19206108849019599), np.float64(0.050459188521134735), np.float64(-0.2169551011571307), np.float64(-0.4844370496604579), np.float64(0.14577519627367574), np.float64(0.0612614090804389), np.float64(-0.7419106150605181), np.float64(0.2512679240731702)]","[-0.08414268 -1.13972617 -1.60637614  1.08523873  1.26902808  0.90657368
 -0.89010654  2.72560217  0.3503288  -0.10084536  0.26970648 -1.52639349
  1.55306075  1.49811446 -4.59425731  4.59644305  1.5048004   1.6595119
 -4.71375971 -1.5745834   1.55269383 -1.59360736  1.53734187 -1.56545547
  0.96500461 -0.75196171  1.21996939  1.14054896 -5.00775913  1.30011869
 -1.43809589  1.03654068 -0.93820973 -0.76891336  0.78469562  1.35904177
  1.54610705 -1.5576506   1.51080239 -1.50258635  4.81670799 -1.5626354
  1.57490371 -1.51616885 -1.60627909 -1.56967736  1.58043142  1.57720246]",-2.3049903937071576
"[np.float64(0.05750326497757776), np.float64(-0.10229871904985606), np.float64(0.18713569509890046), np.float64(-0.05165898882851703), np.float64(0.2777290348607347), np.float64(0.4680759693993554), np.float64(0.17548333625654136), np.float64(0.14599960503465675), np.float64(0.19847201127894945), np.float64(-0.1909408585750254), np.float64(0.6275865477777904), np.float64(-0.11978936821153346), np.float64(0.11069124558054631), np.float64(0.1883606239356201), np.float64(0.03763233688634196), np.float64(0.2305386113315184), np.float64(-0.17460073664788148), np.float64(0.24331756048827366), np.float64(-0.4964855931089371), np.float64(-0.30452808400073), np.float64(-0.0038227590153255926), np.float64(-0.052075616062729715), np.float64(-0.12026923161533583), np.float64(-0.31216440632256587), np.float64(0.23086687529822356), np.float64(0.22154181886944618), np.float64(-0.10617799581225505), np.float64(-0.1587397551133762), np.float64(-0.16409542551988338), np.float64(-0.21936080701416635), np.float64(-0.13716930853045572), np.float64(-0.2560024882589257), np.float64(0.18275520321596597), np.float64(0.5991492929164639), np.float64(-0.3473994847058379), np.float64(0.22712747406214784), np.float64(-0.43390894876596836), np.float64(0.027496291340376396), np.float64(-0.3115992561685478), np.float64(0.039566165742578666), np.float64(-0.233817475444812), np.float64(0.04674541713477893), np.float64(0.05570092988557612), np.float64(-0.10429259422438433), np.float64(0.09826484844057551), np.float64(0.12953807077471774), np.float64(-0.04406510103791808), np.float64(-0.017663558061047493), np.float64(-0.12127631170865028), np.float64(0.3293362085041956), np.float64(0.41797615004658717), np.float64(-0.5055467754456859), np.float64(0.11421285737666735), np.float64(0.18311322176591843), np.float64(0.020819588919310766), np.float64(0.17768466317855458), np.float64(-0.059538934083781095), np.float64(0.17202988783553438), np.float64(0.008505194942576903), np.float64(0.1631438176377786), np.float64(-0.10721912670194686), np.float64(-0.39253441360496816), np.float64(0.00791674551198334), np.float64(0.08234025995594357), np.float64(-0.01795343511016741), np.float64(-0.024715632303414052)]","[ 1.12355983e-02 -3.09122774e+00  6.10762283e-03  3.10817740e-04
  3.15237457e+00 -6.85421761e-03 -6.27614323e+00  3.14357962e+00
  3.13958670e+00  3.14449950e+00  3.13199654e+00  1.03338553e-02
  1.51425844e+00 -1.48087286e+00 -1.55978647e+00  1.53572125e+00
  1.52605834e+00 -1.57756037e+00  1.35338211e+00  1.51606591e+00
  1.73691550e+00 -1.47689458e+00 -1.61586227e+00  1.57356900e+00
  4.74291364e+00  1.31386743e+00  1.68743804e+00  1.50275818e+00
 -1.62072856e+00  1.42929660e+00  1.32687629e+00 -1.65110243e+00
 -1.55577191e+00  1.56072727e+00  1.52283725e+00 -1.55664627e+00
  1.47722637e+00  1.55725926e+00 -1.57066167e+00  1.57228902e+00
  1.54787183e+00  4.74010357e+00  1.56299054e+00  1.57009408e+00
  4.71375828e+00  1.55580673e+00 -1.56834902e+00  1.51092578e+00]",-9.776357224587858
"[np.float64(-0.15876122007396262), np.float64(-0.41417146044407865), np.float64(0.2433495214820275), np.float64(0.20348255580695288), np.float64(-0.08026584787012828), np.float64(-0.20734251140795737), np.float64(0.17535559235372677), np.float64(0.018126937532909112), np.float64(0.07172609929888364), np.float64(0.10125186296640327), np.float64(-0.4546889213636393), np.float64(-0.09392237464809597), np.float64(-0.22419153950444948), np.float64(-0.22297877027572838), np.float64(0.0759900529916116), np.float64(-0.08252546129570831), np.float64(0.1480495026761731), np.float64(-0.2925964094251264), np.float64(0.12333033307648332), np.float64(0.1586463932503337), np.float64(0.2808680415768756), np.float64(0.5786940264672245), np.float64(-0.07723523392160468), np.float64(-0.1320280337069484), np.float64(-0.11194201647710386), np.float64(0.01111299269897638), np.float64(0.06810003091784426), np.float64(0.42125810480673387), np.float64(-0.06959676666158691), np.float64(0.33327839791221525), np.float64(-0.2335965360315286), np.float64(-0.0769585109934176), np.float64(-0.07067289322447366), np.float64(-0.22636640746746114), np.float64(-0.1717278014208292), np.float64(0.017470978488963774), np.float64(0.21049511644161684), np.float64(0.04424280084880985), np.float64(0.21227297829802355), np.float64(-0.4379194443891708), np.float64(0.230456523475886), np.float64(0.5876188926328874), np.float64(0.3423454680785353), np.float64(-0.04034115868804135), np.float64(0.10671966136751965), np.float64(-0.09162547461508859), np.float64(0.2819022419939077), np.float64(0.45158672051368876), np.float64(0.027487044878977168), np.float64(-0.5413036609575576), np.float64(0.008352028282244989), np.float64(0.18910454415744393), np.float64(0.5219278649650752), np.float64(-0.25986924933704286), np.float64(0.3127916290621903), np.float64(-0.32475763554922776), np.float64(-0.0781398497262523), np.float64(-0.016970037403492736), np.float64(-0.08346125489284838), np.float64(-0.07476756091655112), np.float64(0.37012766261083085), np.float64(0.731941294308318), np.float64(0.29185611120148736), np.float64(0.5084981737643564), np.float64(0.013614416786758001), np.float64(-0.21305024337127937)]","[ 2.13379927e+00 -7.98554739e-02  1.57096717e+00  1.49210282e-04
  1.57078477e+00  3.99031196e-01  2.06528481e+00 -1.49462128e-01
  3.41072634e+00 -3.97120863e+00 -1.62637304e-01 -1.57081500e+00
 -1.56940866e+00 -1.56923407e+00 -2.71601911e+00 -2.71584390e+00
 -1.57095002e+00  1.57075658e+00 -1.57065933e+00  1.57091924e+00
  1.57102436e+00  1.57017137e+00  1.57081936e+00  1.57088259e+00
 -1.65736709e+00 -5.91404617e-01  6.90253740e-01 -3.63597477e+00
 -8.54325752e-01 -2.05650991e-01 -2.52224079e+00 -5.29170482e+00
 -1.56815450e-01 -9.61174453e-01  1.70457758e+00 -3.69989178e-02
 -1.57214031e+00  1.49108783e+00  1.54577432e+00  1.65928573e+00
  1.48944357e+00  1.51021498e+00  1.51252287e+00 -1.50771993e+00
 -1.51812568e+00  1.55667627e+00  1.57962702e+00  1.58070605e+00]",-1.781498847961302
"[np.float64(-0.05453886802913206), np.float64(0.31947096111530393), np.float64(-0.40647484554316177), np.float64(0.17107955971814406), np.float64(0.33969896349575945), np.float64(-0.24711633732532395), np.float64(0.18814988697292523), np.float64(-0.11986735195165711), np.float64(0.142492991478715), np.float64(-0.023612048727994647), np.float64(-0.11456212636903626), np.float64(0.06243177491292377), np.float64(-0.6786561960872689), np.float64(0.17539510678569428), np.float64(0.49985225537625216), np.float64(-0.4452644494414432), np.float64(0.14929784470985644), np.float64(-0.3444332040501122), np.float64(0.06902492189054346), np.float64(-0.09994979565875015), np.float64(-0.10302308175344567), np.float64(0.1576947520969473), np.float64(0.03257900988759654), np.float64(-0.3486909800673089), np.float64(0.2727466242904818), np.float64(0.002692681390451981), np.float64(0.19007988357398134), np.float64(-0.17330782681479687), np.float64(0.007637472774851299), np.float64(-0.06666867900773343), np.float64(0.17497884582261378), np.float64(0.39401280449838827), np.float64(-0.16170389339600563), np.float64(0.5680271186008706), np.float64(-0.42203221644963407), np.float64(0.4027415297709989), np.float64(-0.12571766327702327), np.float64(-0.23845989311813667), np.float64(0.33728558135778625), np.float64(0.20820299788742097), np.float64(0.5953835286694947), np.float64(-0.0592918854442911), np.float64(-0.17337105253945218), np.float64(0.094082350622981), np.float64(-0.2228950515166055), np.float64(-0.5203061739522145), np.float64(0.3731176807205421), np.float64(-0.12316100784184925), np.float64(0.21014586601766994), np.float64(0.27120464328023897), np.float64(-0.18204413822920135), np.float64(-0.4565575443396802), np.float64(-0.671736746756855), np.float64(0.19885207542043196), np.float64(-0.391445316091177), np.float64(-0.232642438449637), np.float64(-0.14614949429090676), np.float64(0.27386757029236214), np.float64(0.11894377962726213), np.float64(0.07823127124099359), np.float64(0.15326094510604807), np.float64(0.5647523171970352), np.float64(0.5920028319363881), np.float64(0.1984897256603247), np.float64(0.24961346543395735), np.float64(0.14192000555255216)]","[-4.71137894e+00 -1.57071305e+00  1.58108038e+00 -1.60126565e+00
  1.39474507e+00 -2.00627317e+00 -2.50763856e+00  2.00984498e+00
 -6.74807695e-01  7.39169283e-01  1.18511797e+00 -1.56815955e+00
 -8.29549203e-03  2.77111798e+00  2.89395680e+00  1.23403692e-01
 -2.78132006e+00  2.62526330e+00  2.66354699e+00 -1.30880274e+00
 -4.34905360e+00 -2.50391110e+00  1.07943925e-01 -2.83264601e-04
 -1.56907184e+00  1.56993303e+00 -1.57228968e+00  1.56703856e+00
 -1.55793373e+00  1.57350942e+00 -1.54965020e+00 -1.54539445e+00
 -1.69508717e+00  1.35638268e+00  1.99244451e+00  1.57302795e+00
 -1.19979583e+00 -1.72047952e+00 -1.80977222e+00  2.18600719e+00
 -2.94238030e+00  2.90708683e+00 -1.77029417e+00 -1.91372779e+00
 -2.52349905e+00  2.16196349e-01 -3.31871111e-01  7.02360712e-01]",-1.4467849259544892
"[np.float64(0.540010067397093), np.float64(0.11076551082554015), np.float64(-0.09097582597181238), np.float64(-0.19043565177994198), np.float64(-0.05139795345071437), np.float64(-0.24732965908492718), np.float64(-0.15976051702116473), np.float64(0.2505806630008561), np.float64(-0.08635873912841355), np.float64(0.08740946152042324), np.float64(-0.9096917737238308), np.float64(-0.015724405629602808), np.float64(0.3714949889805045), np.float64(0.35510087533226037), np.float64(0.17669905861535629), np.float64(0.14123174515352943), np.float64(0.19062812541144963), np.float64(0.6740531866442147), np.float64(0.39685807171729826), np.float64(-0.7595500479881008), np.float64(0.18087289290619757), np.float64(-0.010128956304946087), np.float64(0.20697927910710792), np.float64(0.12386950611774152), np.float64(-0.04709240929643038), np.float64(0.25700451019715337), np.float64(-0.0028192896993066443), np.float64(0.36865269824239827), np.float64(0.0044530759765769486), np.float64(-0.6551380070628613), np.float64(-0.06204440536508824), np.float64(-0.3395441374752925), np.float64(-0.1723369017173166), np.float64(-0.4710233522639676), np.float64(0.6888094207038642), np.float64(-0.37781704067227884), np.float64(-0.3533604594962973), np.float64(0.2287200194144048), np.float64(-0.49530408608717497), np.float64(-0.09340147523882707), np.float64(0.2737766412735765), np.float64(0.4732236797603353), np.float64(-0.13399923542332676), np.float64(0.26413850350307866), np.float64(0.13329642932242788), np.float64(-0.11839726524697965), np.float64(0.27425642564742303), np.float64(0.45288125002226987), np.float64(0.3761404330832976), np.float64(-0.499772423632344), np.float64(0.36323787859049844), np.float64(-0.07298727546497764), np.float64(-0.24205321699140456), np.float64(0.04555185566893717), np.float64(-0.07687718791236259), np.float64(-0.3627326283561719), np.float64(0.05311045305211729), np.float64(-0.14000451869277672), np.float64(-0.15729598720638996), np.float64(-0.3340102650936687), np.float64(0.39754023391721127), np.float64(-0.28381535750743947), np.float64(0.48264020660531204), np.float64(0.1831698096232218), np.float64(-0.10687924356524875), np.float64(0.08437988194885089)]","[-1.57445874  1.56371327 -1.57868931  2.00749445 -4.36734652 -1.04426813
  2.36059348  0.41365148 -0.29212182 -2.19248363  2.07717035 -1.56620058
 -0.4303483  -0.80235743 -2.69998854  2.15486985 -2.55615831  0.56978851
  0.20111944  4.3885382  -1.5566689  -0.88803954 -0.283012    0.01101351
  1.56129516 -1.59167368 -1.55097753  1.57226074 -1.56575103 -1.56641229
 -1.57744228 -1.59032453  4.75076276  1.71171484  1.17072431  1.57847735
  2.3638909   2.52151552  1.70903352  0.30069672  2.69005717  2.96952106
  1.9086803  -1.60418608 -0.83466447 -3.3053374   0.77957687  2.54060706]",-1.1833187420379545
"[np.float64(0.1831309305558869), np.float64(-0.34180942155822164), np.float64(-0.08472633156073296), np.float64(0.07535395558563708), np.float64(0.20602909341712994), np.float64(0.19641496259182378), np.float64(-0.6839701888105719), np.float64(-0.05482551323509775), np.float64(0.3447157204291777), np.float64(0.3657855682360144), np.float64(-0.059388043884066904), np.float64(0.19609074971382054), np.float64(-0.19297553633512368), np.float64(0.06066951417461776), np.float64(-0.08242907878012042), np.float64(-0.154387749920788), np.float64(0.21076713021901378), np.float64(-0.3640099144101493), np.float64(0.02306902362864544), np.float64(0.0017046844686366164), np.float64(-0.2081069451034952), np.float64(0.244083908353915), np.float64(-0.08994650278151947), np.float64(-0.4249128154437191), np.float64(0.4664067720242442), np.float64(-0.15886762037998475), np.float64(0.07964443361545401), np.float64(-0.11007226768513656), np.float64(-0.20912845766041102), np.float64(0.27804909894371915), np.float64(-0.16221112198093335), np.float64(0.45470133561873416), np.float64(0.15783302369163907), np.float64(-0.30782045340779846), np.float64(0.023954106280918878), np.float64(-0.5213211668371261), np.float64(0.05232201630383373), np.float64(0.2619046855192542), np.float64(0.21737609522476461), np.float64(0.12663339864551515), np.float64(-0.05977763478655961), np.float64(0.14245128880721566), np.float64(0.027037133851097652), np.float64(0.20464261378356705), np.float64(0.0935491300585953), np.float64(-0.41108197024248905), np.float64(0.13546841805868773), np.float64(0.5519360651299966), np.float64(0.016985057656280327), np.float64(0.1405191007511), np.float64(-0.020638447843755833), np.float64(0.044657130371890834), np.float64(0.18016552912487405), np.float64(-0.04198087791290853), np.float64(-0.11330017040177649), np.float64(0.4997543969858318), np.float64(0.07956245557286049), np.float64(0.05491372923559827), np.float64(0.519860138159134), np.float64(-0.14797705517327933), np.float64(0.14943271168385494), np.float64(0.0694561387489457), np.float64(-0.1649128269730984), np.float64(0.20700876856462364), np.float64(0.38070304351239553), np.float64(-0.21322750186516287)]","[ 1.14878030e+00 -1.57060415e+00  9.39480169e-02  2.21004940e-01
 -3.25653880e+00  1.05597223e-01 -2.79471042e+00 -1.70251012e-01
  2.96904771e+00  3.08383987e-02  3.25490099e+00 -6.00437432e+00
 -1.78308773e+00 -1.57079697e+00 -1.57080567e+00 -1.57076967e+00
 -1.57083860e+00  1.57081963e+00  1.57080308e+00 -1.57071052e+00
 -1.57076546e+00  1.57084982e+00 -1.57084204e+00  1.57077550e+00
 -7.24066579e-04 -1.67637714e+00 -1.53377368e+00 -1.54218428e+00
  1.71205769e+00 -1.74890451e+00  1.78459385e+00 -1.47610729e+00
 -4.78738116e+00 -1.61862812e+00  1.89069178e+00 -5.86442886e-04
 -1.57083134e+00  1.68586904e+00 -1.47186781e+00 -1.63663399e+00
 -4.68660001e+00  1.50857560e+00 -1.70640432e+00 -1.65560863e+00
  1.51344550e+00 -1.62474545e+00  3.83874823e+00 -3.14088750e-01]",-2.6603336066118572
"[np.float64(0.24809092763165874), np.float64(0.39465377631599835), np.float64(0.39538431290973736), np.float64(0.2642369507310585), np.float64(-0.052483951720770555), np.float64(-0.07366921057319911), np.float64(-0.05218568619523127), np.float64(-0.023535845545294972), np.float64(-0.5129729629959955), np.float64(-0.5525055212225681), np.float64(0.39518030331983556), np.float64(-0.27120726382256866), np.float64(-0.3197397697463514), np.float64(-0.12013407604879721), np.float64(-0.15567464337730952), np.float64(-0.19098384080479425), np.float64(-0.1426578386291681), np.float64(-0.09651563926310161), np.float64(-0.18125933682073228), np.float64(0.10279612563983252), np.float64(0.04197579158267065), np.float64(0.44888881007938347), np.float64(0.4621988565417001), np.float64(0.7105980010362125), np.float64(-0.24825945150006493), np.float64(-0.23566879230591142), np.float64(-0.4178870614745097), np.float64(0.03991401514444976), np.float64(-0.3653299583955742), np.float64(0.2601666602237866), np.float64(0.43536255653704364), np.float64(0.11387424522709161), np.float64(0.038057737001725045), np.float64(0.2910963436191693), np.float64(0.17812626680938828), np.float64(-0.05275974955527512), np.float64(0.007258764460172177), np.float64(0.048662488343551254), np.float64(-0.24923374942647847), np.float64(0.05644947320649748), np.float64(0.6502685973564231), np.float64(-0.05530347776876439), np.float64(-0.09977064610847525), np.float64(0.33565409650937067), np.float64(0.08359475533284427), np.float64(0.1397237435303063), np.float64(-0.3831840397682628), np.float64(-0.07947469417000036), np.float64(0.03509885974094634), np.float64(-0.39639988533535425), np.float64(0.4343973302354144), np.float64(0.4393425340565147), np.float64(-0.3450388060612556), np.float64(-0.28040299237029725), np.float64(-0.6577441284123627), np.float64(-0.24382928890157732), np.float64(-0.1281074681290245), np.float64(0.6679067010999683), np.float64(0.01799432521231785), np.float64(0.013077563821645636), np.float64(-0.08265709497700037), np.float64(-0.5089141717084835), np.float64(-0.09864442519394803), np.float64(0.343394177897099), np.float64(0.2772791530381), np.float64(0.09059824174846184)]","[ 0.83858385  3.40599216  0.29596188  3.37841625  3.19826886  3.34549819
 -3.25948071  0.17568497 -3.4738125  -2.89559658  2.3934591   1.66891491
 -1.59096671 -1.56153398  1.56937339 -1.56905246  1.57014921  1.57247222
  1.56286912 -1.55744458  1.56137599  1.58738089  4.70618236 -1.20536336
 -1.24418049  1.07282045 -1.00209271 -1.72686043 -1.2768498   1.68225713
 -1.86412047  4.8586041  -1.90135201 -0.64851219  0.46165064  3.20063741
  1.56130001 -1.64192429  1.63688402 -1.54523979 -1.58063843  1.40869478
  1.65528708 -1.45187013 -1.46913791  1.59100897 -1.64721183 -1.66178471]",-2.691519392882583
"[np.float64(-0.16161986084907504), np.float64(0.38602236228708253), np.float64(0.12652950150790498), np.float64(0.05205084084270353), np.float64(-0.22861283092971793), np.float64(-0.1787819767588538), np.float64(-0.4449409101992442), np.float64(-0.1262298114162555), np.float64(0.3886338644351374), np.float64(-0.40646364557347053), np.float64(0.23379794599323567), np.float64(0.39493944876471143), np.float64(-0.7370102599723988), np.float64(-0.034999105380096984), np.float64(-0.1601336686212006), np.float64(0.16257397930224246), np.float64(0.035475111693977386), np.float64(0.010503988852127036), np.float64(0.4312728735369139), np.float64(0.09245265220162033), np.float64(-0.1894159101134524), np.float64(-0.16536225731412413), np.float64(-0.432548712893741), np.float64(0.2042516757828578), np.float64(-0.35260021484310805), np.float64(-0.016889037263362622), np.float64(0.10126903821635315), np.float64(0.09908757097804131), np.float64(-0.19381901465575468), np.float64(-0.16075912499247566), np.float64(0.6554715351380394), np.float64(-0.20389502706556867), np.float64(0.17158860316957422), np.float64(0.24282437504814075), np.float64(0.43565059171712195), np.float64(-0.17606847213442778), np.float64(-0.11517354196005608), np.float64(-0.3158939718481115), np.float64(-0.7643680531069665), np.float64(0.1550148374118822), np.float64(-0.08743347854517959), np.float64(0.4623724174575995), np.float64(-0.008690303109926682), np.float64(-0.14613276636941525), np.float64(0.24473706076207855), np.float64(-0.16779451700848858), np.float64(-0.45628228889056804), np.float64(0.15700578793064296), np.float64(-0.4148324127511094), np.float64(-0.01785014293490544), np.float64(-0.15806002208289854), np.float64(0.08697195164586091), np.float64(-0.1478412816695974), np.float64(0.07413534722092663), np.float64(0.6414544644807012), np.float64(0.02219861101844388), np.float64(0.0401205395723116), np.float64(-0.036075193144974795), np.float64(-0.3240226308881453), np.float64(0.0661216684265241), np.float64(-0.035734145036137636), np.float64(-0.06588495039378829), np.float64(0.14385191580072296), np.float64(0.311223352894513), np.float64(-0.1429126156388559), np.float64(-0.24801823125479225)]","[ 1.56885563e+00 -1.57085688e+00  1.57073861e+00  1.26490644e+00
  6.06734183e-01  1.11198766e-01  2.23631179e+00 -4.94798861e-01
 -2.03411461e+00  1.67982258e+00  1.55897360e+00 -1.57169552e+00
  3.32686135e+00 -8.73763149e-01  9.74737915e-01  1.42434247e+00
 -2.78179376e+00  1.81719026e+00  1.80727245e+00  1.36313085e+00
 -6.30546853e-01  3.15227605e+00 -3.12322897e+00 -7.45552783e-04
 -1.57242412e+00 -1.57206016e+00  1.56761978e+00 -1.56239823e+00
  1.59261551e+00 -4.70501458e+00  1.58323448e+00  5.39853701e+00
  2.62169521e+00  1.04727342e+00 -1.39931634e+00  1.57236979e+00
  6.96849775e-01  1.10654804e+00  1.68252872e+00  3.65346057e-01
 -1.33511849e+00  1.46893724e+00  1.56276801e+00  3.22974752e+00
  1.92030899e+00 -1.57624009e+00 -1.55745180e+00 -1.63077471e+00]",-1.3290970961484163
