noisy,xgb_near,xgb_full,ridge_near,ridge_full
-4.483504030061288,-8.16961759243469,-11.154846124709458,-14.106998401773264,-14.495640931461612
-5.473429646989008,-8.09017007415397,-12.149789484808919,-16.630860230911424,-16.437026938407243
-4.290893483577762,-9.556505074863436,-10.12463565328363,-12.417003627429448,-13.09833671341137
-4.567141646053159,-6.81619265003334,-7.727424522468816,-13.576937011731113,-12.876901194676568
-3.248560699851444,-7.520072789276198,-10.323286672181082,-10.257112366369252,-9.879487824030198
-3.773352662469616,-7.068243261295494,-10.629290463116977,-11.552164233020457,-11.368051263282913
-3.6105075796979955,-9.13182513891798,-14.388514208758556,-12.23113009404956,-13.999407939648806
-4.550426925920211,-7.79112614163079,-10.987545488419439,-14.028967963814347,-14.47279098539266
-4.327229975830217,-7.561893309785267,-9.241667620368505,-13.143263926904243,-12.64187359577347
-4.628439573210188,-10.53518781944016,-11.130510841402012,-14.468533362560194,-15.86356466157528
-4.2129023120181195,-7.5832058447150885,-11.692172582258296,-13.01887173965099,-12.994561987542022
-4.264687524336148,-8.426730230826657,-14.21256005382886,-18.197320817163614,-17.13582511784987
-4.8757453943461675,-10.967162926312687,-13.429943952346424,-17.79830369372982,-17.49419093682086
-4.048795954801164,-9.428786587599529,-14.722730559233955,-15.655398295694681,-17.634868813709602
-5.147245596095466,-9.311090826454173,-12.06974999180369,-19.22621854209018,-19.194016367102012
-4.598764914774428,-7.428793890586607,-13.046547900819718,-13.703624119154421,-14.052119704513878
-5.584982928414203,-8.42872920335747,-9.177527580019428,-16.95145635914551,-16.68704021586042
-4.35511718324836,-8.175437844989755,-10.271268418919771,-13.52343713926127,-16.190688244156238
-4.78055240663174,-8.858325360420732,-8.984543866237189,-13.856261730574193,-14.947643676913112
-4.435917133807799,-7.439206904154416,-9.441158365800975,-12.758824422891289,-12.90561286064848
-5.021445899781267,-9.650990806192793,-12.649479067823538,-16.566621670203517,-18.680211631471323
-3.184919014344184,-7.868672398887118,-10.52642905300401,-11.4694326528544,-11.44652130012568
-4.873498353881864,-10.084490775323399,-15.043506932823812,-19.599395806062184,-19.797697136819043
-5.8447999575380445,-8.5308378888228,-10.515545997453017,-17.28264278189827,-16.623015457159443
-4.05853458491776,-8.777617748789448,-11.247066041680739,-13.504531829042486,-15.237535817384696
-3.5576314725453893,-8.588248388108862,-10.44996768485064,-12.116539003195347,-12.332173052210065
-3.0638368637260442,-8.775233337104098,-11.242629628354305,-11.479884716148058,-11.489297773405381
-5.237530041401465,-8.422110846396077,-12.522226281534369,-15.657474360769061,-14.957563978931358
-5.088299427672888,-8.195313677750391,-10.367688721834966,-16.633210042587905,-15.670854813595206
-3.2909662721108326,-7.744617494321286,-7.512961461684377,-8.132835606519505,-10.605923513910906
-4.053173586742933,-9.149292197797685,-16.373427988931454,-11.89336324257385,-16.56724379636739
-3.0671261580786187,-8.44551616992894,-10.167642150997207,-9.831491919856868,-11.425606288874608
-2.977486103260414,-8.481046860177576,-12.425247339351193,-11.222014349405441,-12.637774387062912
-5.576089496590668,-8.062003213770343,-9.380312456064123,-16.575218773036813,-15.647242339350155
-4.012240413278191,-9.878126523493933,-12.049079874965033,-13.581842245593629,-15.848603179195816
-3.451042500867566,-7.602252335395765,-13.651372348596155,-10.387942797828723,-10.512804134880517
-4.7372934295880755,-10.123291883528523,-12.27430785990255,-17.69062686666615,-22.13558748517575
-2.4841842754310806,-6.605682122926936,-8.496865782573474,-11.94970817309924,-9.823762372751814
-4.426160239197474,-8.572926368985458,-12.103167398025537,-12.450496912053683,-12.964055348948953
-3.4092069904589457,-8.338497884241452,-11.952559128120445,-16.791541205586817,-14.494217970427377
-4.179435574599761,-9.413888119538804,-13.975065805273747,-15.020500195927955,-17.016912265168944
-5.00829908542295,-8.917862020960094,-10.31375699989172,-15.63878319945323,-15.55807347294586
-3.729429083441569,-7.83675800607768,-10.99685792953748,-16.490027272102168,-15.700615322282047
-4.763183690724226,-8.468247219300114,-14.458444926724965,-14.392938601674617,-14.944343808406929
-4.713362613206461,-10.10521755435433,-11.698636516412169,-15.080789693857536,-15.101658865086772
-5.376431021097794,-9.105329047208873,-11.80461007826808,-15.739486342954297,-15.663857236143773
-3.0385851072407633,-8.34936563866472,-12.271774633163911,-5.63463841757857,-6.664130599956383
-3.2024317036434624,-7.5717558026761385,-11.487202563520452,-10.338776688956997,-10.198231341163275
-2.6536391579588434,-7.979187924876685,-12.989675976720543,-9.105266695860863,-9.460603665298702
-3.418943315649337,-8.188517491039246,-13.17513076545198,-12.675251672273,-13.724185446558735
-3.4584720921814056,-9.140253779027347,-12.529219973777753,-12.611047053558185,-12.924662628904269
-5.101524624080486,-9.190201048843875,-14.809010388572773,-15.8669056188343,-18.267349542697826
-3.5628881801958547,-8.465596780281615,-12.629321013443306,-11.217882207765468,-12.834453822765873
-4.638236129806319,-8.998141229415879,-13.565805391019587,-19.187024501952617,-17.568150337753014
-3.953448982731199,-8.683730873592907,-11.573413340535264,-15.064758538166076,-15.91011214114366
-4.454707390999986,-7.044482219122546,-7.85272124877321,-13.254006228518401,-12.741930080388025
-3.3457732750443747,-7.207981501724166,-12.588685375765461,-9.87577693026706,-9.83387097015319
-3.8161577108462357,-7.18607415183056,-8.315983421274808,-12.682832934888086,-11.706068454686651
-3.7918753999342725,-7.773569884562987,-11.20663037461393,-10.519529719435065,-12.05463009211837
-3.572861081114125,-7.574860457511156,-14.0364263129207,-11.437182584659697,-11.207090593286697
-3.2644574791202006,-7.666207571872663,-13.704354800842665,-13.037905023029106,-13.641038906543153
-5.019112673760939,-10.433821522945413,-9.864748069363976,-20.051164471298573,-21.408517000910805
-3.344835591390822,-7.864324209223911,-12.083494444252882,-17.052595030989597,-15.596707481443769
-2.929967728027532,-7.214669891952132,-8.554225457332628,-11.682816547345066,-10.433246851715658
-3.5446438429016207,-8.563843956884353,-13.429601144209506,-11.642855106796851,-11.65716408279955
-5.162445775816922,-10.181519311143326,-12.720936036194361,-19.95249275036556,-19.59035637519959
-3.485103335794844,-8.323047312543878,-11.466389468863566,-14.036878827045932,-14.730449445246725
-4.9368082991118705,-9.6762802295571,-14.247855827106884,-14.634468230143884,-15.781141674491147
-4.813885822629402,-10.437312203431716,-10.119366650119474,-14.450730723056672,-15.925275361750268
-4.089389471300768,-7.106881069340578,-9.665802340847495,-12.272098507952581,-13.016638672960278
-3.701036299522563,-8.800638340714737,-12.133989566907925,-12.30940356448443,-14.590556489942447
-3.712729401833695,-7.73879373346921,-14.40551464610187,-16.115975121071607,-17.026976676376023
-2.636809812649197,-7.359596864993124,-9.305236055245055,-12.369856496717746,-11.155415418131653
-3.8737644823260196,-9.472745908689143,-14.116010425549053,-15.071131465635222,-14.437181834490136
-5.278095631250558,-10.109322422622919,-12.594679974907098,-17.16663120141486,-19.50704593605558
-4.815104354039884,-8.85446959033462,-12.406449528833415,-14.526675087777953,-14.771314495251884
-3.1457553459750285,-8.326682511646768,-13.523475234035693,-10.922451521686337,-13.061252560836401
-3.2717401738295497,-7.352715881966688,-12.062264590964043,-12.61990987877714,-12.696288475757052
-4.330386769771145,-8.617982869330843,-12.276327983535186,-13.322379578091272,-12.888172692133528
-4.024618364690746,-8.317147906885651,-11.065881619100619,-12.717345105522226,-12.450066205268385
-4.1957826021789755,-9.793806449848528,-11.889614686670756,-14.338788042790156,-17.671087864784237
-3.76200455727657,-6.610214759519053,-10.202527128587569,-14.888123950753947,-12.839452922291851
-4.22867281313059,-8.803676661669298,-10.006577256826143,-12.638762669020897,-12.949919925317026
-4.87967634315255,-10.336030766936723,-14.353093509754746,-13.583892054321295,-16.613489853746948
-4.547077298217987,-8.512118198580477,-11.935087167614286,-14.352732276442245,-13.322261229654801
-4.0289375021717255,-8.377350825184148,-12.16148991348678,-12.725137648089374,-17.115643054944446
-3.449326305466755,-7.427581263965161,-11.828531447823117,-11.70471735279174,-10.757889310642227
-4.939221005359915,-9.680467861308554,-10.531108220126098,-14.969015287440433,-15.983333412934346
-4.114770645971461,-7.929437700503385,-9.88693521204918,-12.191060068644596,-11.49756031884337
-4.21040450031019,-7.629498031597134,-10.408825789215989,-13.715668457946062,-12.79058534225372
-4.956148083608268,-9.343123521011737,-11.126675696750489,-18.042028215303905,-19.575286755034522
-3.8482047479607986,-8.417561082533808,-10.277411883756733,-11.241593042527352,-10.659526245535389
-4.313544221857214,-7.91838602660047,-12.024164377049381,-13.055275968977604,-13.404915782036701
-2.5976570274447783,-7.191923488674961,-11.921226343984632,-8.972703301431531,-7.7764943352611935
-3.2864132735363674,-8.775997311994649,-10.846495877449328,-9.397217465626504,-13.911234507831649
-4.066009077292346,-9.40586906109103,-15.094279745310688,-12.28359169402843,-12.24160358364695
-4.628787799171663,-10.447163935049023,-12.593979052920265,-16.471958598044463,-15.34940746139336
-4.273447004757684,-9.252637102231454,-13.254002823927404,-13.064685382272227,-15.470985073272946
-3.5031725413306716,-8.575372838865395,-10.904572741124623,-10.018998627135883,-11.553955614007052
-3.695426507220111,-7.898674612504492,-11.633970593252418,-12.350614742608512,-11.203461278726634
