noisy,xgb_near,xgb_full,ridge_near,ridge_full,zne
-10.670786918699491,-9.55806215447569,-13.65157152051004,-12.215008355585232,-12.422380525359284,-12.066400231947759
-11.29507447350452,-10.94833372334925,-14.815188718664803,-13.120154051684777,-13.72264796605577,-12.459205790713344
-10.638818732693284,-9.45369753512841,-11.553221554044356,-12.130502087049898,-12.3469875038407,-12.04421560994757
-10.29782000622553,-9.418568002204085,-12.570018564839035,-11.849893550680465,-12.190756870437347,-11.517810266750873
-9.989178994783574,-9.797941485846644,-12.348454915083114,-11.621102217308554,-12.00338175449303,-11.753417296948184
-11.180272048499868,-10.826283400962655,-14.399842392229347,-13.086343728114556,-13.949514068440036,-13.01351520175818
-10.85592703617622,-9.667947503046875,-13.101663642339243,-12.410229939512393,-12.640764164106848,-12.213581639047566
-11.523512622342375,-10.900298800289944,-12.656229132525542,-13.47501622870421,-13.998785031682766,-13.021162285188465
-10.76470890120357,-10.041082552589764,-14.595837751483142,-12.667024863518218,-13.231686142255674,-12.129791266779261
-10.746068892944114,-11.02944663778223,-14.4167629422524,-12.42615569187537,-13.050558419844652,-12.433208772235934
-9.837635197653809,-9.716937935841784,-13.11977539745169,-11.534692557134788,-11.694583962692237,-11.239115896885782
