noisy,xgb_near,xgb_full,ridge_near,ridge_full,zne
-6.291856154105999,-9.331531171669209,-11.56482468891042,-12.860321595668632,-14.404915668215343,-8.898270571731697
-7.19282359430735,-8.570923389727511,-12.945581710691972,-14.291069459159964,-15.451942644709336,-9.752704114427269
-6.159341676046742,-10.632505891837528,-13.763958730625166,-12.36798239324216,-13.95391269264303,-8.806278675132958
-6.255313450534685,-7.624004599079775,-10.332059347660682,-12.116529406888922,-12.606235699737407,-8.762208385186714
-5.250068440724371,-8.209186950807835,-10.982619193761987,-10.384496124938517,-10.997961225274269,-8.11885931433187
-5.619968220739343,-7.658986901686405,-10.03280079746144,-11.09269655626423,-12.011509933258097,-8.316233593809098
-5.60997892305885,-9.003331708910517,-13.353209226648952,-12.57665541552695,-14.9875638959621,-8.33619094133056
-6.191953584053576,-7.705516578650863,-10.883731359562576,-11.991954906457757,-13.62384421498321,-8.657069969806582
-6.24455031560227,-8.52735902492242,-9.518266062774131,-12.381605494380176,-13.233628554796969,-8.99951524398828
-6.45260384045293,-10.680088122122225,-10.909210573070636,-12.708199297455304,-16.020616597499174,-9.017921020404552
-6.058179592549872,-8.178421726767379,-10.334542609189407,-12.01464874491984,-12.89076965068964,-8.653611170600213
-6.146332162738952,-8.393603165833053,-11.054658665538993,-13.748262644335536,-16.047981989377405,-8.704714986336747
-6.885340423051568,-11.14868099818287,-13.20929663021346,-14.188559317311428,-17.64372709432448,-9.73383158262422
-6.27642723004068,-10.52252943661637,-13.402328986488085,-14.441771898302196,-18.269230870182497,-9.35120512244059
-6.86205458078658,-9.131693133495537,-11.429378331733709,-14.826996694891974,-17.00817388729511,-9.404462403899029
-6.148659124224803,-8.291009851260707,-13.066365731025687,-12.091025670533252,-13.756589927785807,-8.396426931833828
-7.291755043489796,-8.801132689654786,-10.629283321709254,-14.65215631729072,-15.805106297559194,-9.88540817206816
-6.175615967134027,-8.907317958202391,-12.780259370626045,-12.453330839370206,-14.588308837312418,-8.769638968397564
-6.641917756475113,-9.771517672890322,-10.704740459352324,-13.195336398575089,-14.996449973968229,-9.306733916990536
-6.263137249447016,-8.102034306879803,-10.190633035296752,-12.2065259868262,-13.321674277404597,-8.918493837918621
-6.877759102218007,-10.211406508916768,-12.036904554453862,-14.500449907196083,-17.56109823452385,-9.55153647596985
-5.197254579049961,-9.36107462537724,-13.917457030319634,-11.3439767691478,-13.74074063142505,-7.827542203738689
-6.788958250423817,-9.834951459667009,-11.443355210716163,-15.57964031169137,-17.05330813483559,-9.505649432970117
-7.474373579195088,-8.432882653629939,-11.51357169794946,-14.494422664490225,-15.222173945431972,-10.02250809706177
-5.926388156327553,-9.125421716497335,-14.86987356530471,-12.484358935125083,-16.02250322221208,-8.676161870177424
-5.547711956539982,-9.24555723634052,-13.473909099293389,-11.407385079300727,-14.19955938530471,-8.249506362425201
-5.055581883313933,-9.258028812825538,-9.73075276225086,-11.11884081810772,-13.028236367371871,-7.669326166128973
