noisy,xgb_near,xgb_full,ridge_near,ridge_full
-10.526183615094231,-9.118150799372643,-11.73932327532595,-11.917436097012958,-12.035869815465873
-11.525033675230821,-10.14139648643351,-13.743145894297168,-12.973861404746835,-13.038689431858025
-10.902345523423906,-11.540534545464116,-12.089121874124354,-12.313843724919677,-12.439681772976003
-10.785840170684656,-8.705652875449044,-10.910710455050793,-12.085914248311736,-12.105086367741789
-10.839206499363332,-10.018093783400683,-11.991949735889442,-12.174448220015297,-12.223039434171397
-10.799211086248558,-9.106566782885073,-10.043706676838461,-12.140035128325083,-12.191948793563958
-10.97253916592124,-10.546962060507653,-11.656330026601728,-12.534151348325342,-12.681671763774826
-9.909233059925322,-8.337419747824462,-11.82614071807404,-11.090841576644545,-11.190954964480552
-11.122643424915367,-9.366198048827858,-10.648111816017199,-12.54436236568159,-12.565643593318391
-11.318679097195293,-11.72545370030802,-10.354812267208139,-12.883419770251793,-13.05431890194278
-10.895090674349815,-9.016412155046847,-11.561587530831707,-12.234478032612941,-12.298947740276574
-10.792056182243156,-9.658736515375729,-9.878769480166197,-12.3930703708203,-12.495729272122276
-11.755529370142733,-11.655011820136203,-11.301466087006649,-13.333839606251184,-13.593559949255827
-12.506779943361792,-12.03124215593051,-14.299853139525828,-14.364980412789574,-14.648901647491927
-11.124630767071654,-10.647880033003549,-11.094857167187795,-12.685160915852519,-12.801621411082559
-10.186562808700137,-9.833144575505846,-9.756623006994712,-11.475707095427417,-11.617116486639024
-11.480971571357562,-9.946822265003346,-9.409001679707094,-12.973257776983244,-13.021300891242225
-10.642618151420175,-9.108940562778207,-10.83496121368746,-11.98219866393831,-12.261880507291172
-11.381834792922938,-10.934936818889275,-10.717334944100227,-12.88979700543786,-13.059204969864386
-11.000044771911863,-9.9719004383246,-10.467127961578289,-12.373647465256928,-12.408211440441809
-11.561614819244495,-11.373817351359563,-11.007290020880482,-13.128220872423071,-13.404580152362518
-10.606352873763058,-10.184483504996738,-8.895779134038069,-12.056173126173823,-12.27207608322327
-11.457417232024088,-10.784333430486997,-9.317388806839261,-13.139676300346306,-13.319945859613526
-11.34524695064268,-9.19743044666846,-8.56125651866881,-12.733889397280159,-12.752318567540033
-10.747983445620227,-10.596237889275423,-9.00424012641444,-12.17487275595422,-12.427119422696059
-11.019224111707718,-10.620228134147492,-9.945155419949671,-12.513501958149886,-12.813732336221843
-10.495856948480071,-10.16938629066997,-12.627044516743844,-12.060469258850832,-12.306270366899689
-11.226768917676608,-9.456145343766554,-13.886412760765893,-12.627435768183286,-12.65541745096698
-11.141620690510269,-9.002708620216392,-10.814278043841155,-12.5539495095691,-12.590887226134821
-10.129431443984542,-9.82502784288546,-8.028859266475022,-11.448652149433938,-11.601172087801597
-10.347698001364222,-9.359603309541152,-13.835002261728826,-11.740368598795564,-11.936955051679739
-10.66121673668999,-11.356643260170767,-10.221192094735922,-12.096302434697806,-12.37049765909195
-10.895315089611035,-10.338157453920925,-9.989140242603266,-12.420537496883334,-12.655534036713695
-11.341389343805352,-9.727077541210733,-9.579861434380911,-12.735991760915027,-12.7374525291121
-11.006586833511168,-11.08937022611396,-10.629479231014077,-12.529776145487569,-12.719412975538727
-10.495581693334373,-10.409937215839243,-11.816623460142504,-11.902671183755754,-11.969991042612756
-12.199321691848294,-11.405230196025952,-12.254424415422505,-14.042271408608366,-14.40703419522437
-10.100339315286787,-9.33380907197136,-9.00932857124921,-11.669230868382371,-11.779548682022778
-10.440159027439876,-9.77617705913934,-10.64195784011817,-11.804037476339719,-11.928251363264351
-10.998506143437671,-9.712237072759395,-13.424861113331707,-12.671020759442,-12.880804267522503
-11.160101302293983,-10.627441581129027,-9.968075786151475,-12.584344074048927,-12.971629901819316
-11.451158555457928,-9.70855751432573,-9.901287282382157,-12.896752675063444,-12.920718975769315
-11.035010218210832,-11.060106537920616,-11.22954990403225,-12.666553658260025,-12.774294475323526
-11.115232649370574,-9.810766506845894,-7.985013106344728,-12.498005760960838,-12.54997526035153
-11.15883507620258,-9.648646295153211,-11.95133908184292,-12.7113695533237,-12.823038568132347
-11.495947522817035,-9.617810545476772,-14.335408578909114,-12.886739341743287,-12.97834578332343
