noisy,xgb_near,xgb_full,ridge_near,ridge_full
-4.494149466131006,-8.492815598030912,-10.447108161632688,-12.232149171239342,-12.711123203443092
-5.307972355501309,-7.9252924139440495,-12.29675371883886,-14.450959711519744,-13.719346728262519
-4.308734167833299,-9.467990035039598,-12.623362576332726,-11.574751565683004,-13.791135471340366
-4.42208131490487,-6.958689672692829,-6.785648707998227,-12.13636508975113,-10.109785961358948
-3.4467739656567016,-7.381280177449219,-9.61978081854796,-9.02961282253846,-7.905211262710722
-3.69726944934448,-6.145315938771237,-8.961523779616037,-10.233432970053155,-8.49110403578181
-3.3906422960363054,-6.698966602370919,-11.300706218375115,-9.165047877361777,-10.488220500103951
-4.591444856220317,-6.809419963101464,-10.313498360448651,-11.527750699777888,-10.892699742068372
-4.207863493893,-6.913437316646366,-7.969599006611887,-11.671731433836744,-8.239044497451642
-4.459445157411399,-9.192118760408647,-15.06605298794286,-11.21012334292767,-14.935802711726392
-4.255744512478947,-7.204868898049417,-12.663516523125043,-11.588579103000276,-9.126312373499758
-4.12541749638081,-7.5660590026393555,-9.585096842821743,-13.443046000221536,-13.452854961889447
-4.771189891101724,-10.360005404952918,-15.231316946205313,-12.917173256387436,-15.826675927980844
-3.979522853774221,-9.507286360942096,-13.854483044306981,-8.370734067396828,-13.9747183396068
-4.940981402448657,-8.637433260770708,-14.011616695670607,-13.945442502486154,-14.349176263563448
-4.537621737606199,-7.452782392746097,-12.239599082240481,-11.639946516052653,-9.98803353378049
-5.269352584053309,-7.787597448516817,-12.02377575712761,-14.620966318027442,-12.933393660543876
-4.279698618181597,-7.477833074308439,-11.56290147511154,-11.163787742003183,-8.684297993229473
-4.645870847377792,-8.567729415220716,-12.936797019190042,-11.794744577825487,-11.175796625726306
-4.357545066007368,-6.667710361054043,-8.69488750245743,-11.901737928772889,-10.465649960289708
-4.848778030075115,-9.234506277305577,-14.07239480334881,-14.11233015084542,-14.828960476285616
-3.1166922951741802,-7.244025424421189,-11.445813269861741,-8.873932834322924,-9.460959783166821
-4.826827930348406,-9.857629548617776,-15.000748370740752,-13.938702840713882,-16.680819655866046
-5.579043850056246,-7.472012743955947,-11.8832603459197,-14.893055798044102,-13.618193001185167
-4.04270325184218,-8.506108141758332,-13.321604325108131,-11.619031086518943,-12.87293336942144
-3.524656297771574,-7.777198505569993,-12.73040059070042,-9.488149401825282,-9.660553418056962
-3.1146731594692394,-8.1300297330343,-15.710991029362212,-8.847342693565107,-10.195512363052762
-5.056059646725825,-7.419766489284676,-10.206950943618192,-13.869221527570986,-12.323989537630641
-5.035179776075368,-7.4493193817593735,-9.698219258878906,-13.893583501253685,-11.515474885013733
-3.315905003848928,-6.783267049296819,-8.545963029471421,-9.2631621087929,-6.435551780355993
-3.936038254507781,-7.582172769402492,-11.048773314888287,-10.587427703334223,-5.4346921691865875
-3.130374976617188,-8.284466253459396,-14.489658887786451,-10.051790914238978,-13.492397165132601
-2.980451586136425,-7.386228602447977,-9.006674812260584,-7.5840238571409095,-9.32357712532262
-5.371258451314274,-7.068014658344671,-8.94719875416631,-14.667006167630623,-13.899779078325535
-3.9630274275308537,-9.52468177556067,-11.66218889871115,-10.156163169151094,-9.553285975803602
-3.4329145049038368,-7.205822542272985,-10.215065461879494,-9.467262059864009,-7.126934594628168
-4.811577251629798,-9.968423222580627,-15.635982787753338,-15.352023018884003,-14.804492434150832
-2.5422042674476097,-6.506780102125048,-10.219955911118186,-8.351331845286957,-9.219811140765033
-4.421264901701855,-7.634625429799833,-9.572551712779944,-11.900512797985462,-12.142058102929116
-3.365344848495201,-7.258381983818765,-14.411987532936573,-11.574541200759471,-16.056667685742713
-4.103004403072202,-8.657711609631296,-13.639110146628738,-9.932325160995923,-8.103333574158679
-4.949677982252606,-7.613629840111346,-11.829140038693355,-13.106898512287627,-14.024420671301188
-3.5327341171366085,-7.552862073322373,-12.361938915056129,-9.41727557707325,-14.3908294047891
-4.481885870201978,-7.733765308332637,-11.503668376521087,-11.79836398913338,-12.563707092930706
-4.628998756858532,-8.841759575683831,-13.095743636429063,-13.355722384627704,-12.4363314477008
